"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-01","2024","01","01","","2.9","","-5.1","","-1.1","","19.1","","0.0","","","","","","0.5","","","","33","","34",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-02","2024","01","02","","0.2","","-5.4","","-2.6","","20.6","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-03","2024","01","03","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-04","2024","01","04","","3.8","","-2.3","","0.8","","17.2","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-05","2024","01","05","","0.7","","-4.7","","-2.0","","20.0","","0.0","","","","","","0.0","","","","1","","32",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-06","2024","01","06","","-0.4","","-10.0","","-5.2","","23.2","","0.0","","","","","","1.6","","","","1","","35",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-07","2024","01","07","","-10.0","","-17.9","","-13.9","","31.9","","0.0","","","","","","2.1","","","","36","","41",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-08","2024","01","08","","-4.2","","-20.4","","-12.3","","30.3","","0.0","","","","","","1.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-09","2024","01","09","","0.0","","-16.1","","-8.1","","26.1","","0.0","","","","","","0.4","","","","3","","38",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-10","2024","01","10","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-11","2024","01","11","","-25.3","","-33.8","","-29.5","","47.5","","0.0","","","","","","1.6","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-12","2024","01","12","","-31.9","","-38.9","","-35.4","","53.4","","0.0","","","","","","5.1","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-13","2024","01","13","","-26.9","","-36.3","","-31.6","","49.6","","0.0","","","","","","5.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-14","2024","01","14","","-28.8","","-35.7","","-32.2","","50.2","","0.0","","","","","","2.9","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-15","2024","01","15","","-10.0","","-30.6","","-20.3","","38.3","","0.0","","","","","","0.9","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-16","2024","01","16","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-17","2024","01","17","","-15.8","","-19.5","","-17.7","","35.7","","0.0","","","","","","5.7","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-18","2024","01","18","","-16.5","","-21.7","","-19.1","","37.1","","0.0","","","","","","1.0","","","","12","","34",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-19","2024","01","19","","-15.6","","-23.0","","-19.3","","37.3","","0.0","","","","","","0.9","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-20","2024","01","20","","0.2","","-16.0","","-7.9","","25.9","","0.0","","","","","","0.5","","","","19","","31",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-21","2024","01","21","","-10.0","","-12.3","","-11.2","","29.2","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-22","2024","01","22","","-6.9","","-14.8","","-10.8","","28.8","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-23","2024","01","23","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-24","2024","01","24","","6.5","","-2.4","","2.1","","15.9","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-25","2024","01","25","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-26","2024","01","26","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-27","2024","01","27","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-28","2024","01","28","","11.7","","1.7","","6.7","","11.3","","0.0","","","","","","0.0","","","","27","","37",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-29","2024","01","29","","12.4","","3.3","","7.8","","10.2","","0.0","","","","","","0.0","","","","28","","41",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-30","2024","01","30","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-01-31","2024","01","31","","9.1","","0.0","","4.5","","13.5","","0.0","","","","","","0.0","","","","18","","43",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-01","2024","02","01","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-02","2024","02","02","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-03","2024","02","03","","6.5","","-5.1","","0.7","","17.3","","0.0","","","","","","5.5","","","","34","","39",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-04","2024","02","04","","-5.0","","-8.7","","-6.9","","24.9","","0.0","","","","","","8.5","","","","35","","33",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-05","2024","02","05","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-06","2024","02","06","","-6.0","","-9.3","","-7.7","","25.7","","0.0","","","","","","0.5","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-07","2024","02","07","","-7.1","","-9.9","","-8.5","","26.5","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-08","2024","02","08","","-4.4","","-8.3","","-6.3","","24.3","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-09","2024","02","09","","-3.7","","-12.1","","-7.9","","25.9","","0.0","","","","","","0.8","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-10","2024","02","10","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-11","2024","02","11","","2.4","","-3.0","","-0.3","","18.3","","0.0","","","","","","0.0","","","","3","","36",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-12","2024","02","12","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-13","2024","02","13","","-4.4","","-10.0","","-7.2","","25.2","","0.0","","","","","","0.9","","","","36","","36",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-14","2024","02","14","","-6.7","","-14.6","","-10.6","","28.6","","0.0","","","","","","0.4","","","","34","","34",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-15","2024","02","15","","-8.5","","-15.5","","-12.0","","30.0","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-16","2024","02","16","","1.3","","-15.4","","-7.1","","25.1","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-17","2024","02","17","","4.3","","-8.2","","-2.0","","20.0","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-18","2024","02","18","","4.7","","-7.8","","-1.5","","19.5","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-19","2024","02","19","","4.1","","-8.6","","-2.2","","20.2","","0.0","","","","","","0.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-20","2024","02","20","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-21","2024","02","21","","5.1","","-3.7","","0.7","","17.3","","0.0","","","","","","0.0","","","","30","","76",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-22","2024","02","22","","9.8","","-1.5","","4.1","","13.9","","0.0","","","","","","0.0","","","","29","","33",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-23","2024","02","23","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-24","2024","02","24","","3.2","","-5.9","","-1.3","","19.3","","0.0","","","","","","0.5","","","","8","","39",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-25","2024","02","25","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-26","2024","02","26","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-27","2024","02","27","","-15.9","","-23.3","","-19.6","","37.6","","0.0","","","","","","1.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-28","2024","02","28","","5.8","","-20.8","","-7.5","","25.5","","0.0","","","","","","0.0","","","","26","","63",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-02-29","2024","02","29","","6.7","","-9.8","","-1.5","","19.5","","0.0","","","","","","2.6","","","","33","","231",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-03-01","2024","03","01","","-9.5","","-13.8","","-11.7","","29.7","","0.0","","","","","","1.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-03-02","2024","03","02","","-13.7","","-21.3","","-17.5","","35.5","","0.0","","","","","","4.7","","","","4","","34",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-03-03","2024","03","03","","-16.6","","-25.1","","-20.9","","38.9","","0.0","","","","","","1.1","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-03-04","2024","03","04","","-16.1","","-22.4","","-19.2","","37.2","","0.0","","","","","","1.0","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-03-05","2024","03","05","","-12.9","","-23.3","","-18.1","","36.1","","0.0","","","","","","2.6","","","","32","","40",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-03-06","2024","03","06","","-6.1","","-15.5","","-10.8","","28.8","","0.0","","","","","","0.4","","","","","","",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-03-07","2024","03","07","","-0.1","","-16.7","","-8.4","","26.4","","0.0","","","","","","0.4","","","","19","","47",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-03-08","2024","03","08","","7.4","","-7.1","","0.1","","17.9","","0.0","","","","","","0.0","","","","26","","61",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-03-09","2024","03","09","","10.3","","-1.3","","4.5","","13.5","","0.0","","","","","","0.0","","","","23","","55",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-03-10","2024","03","10","","8.5","","-1.8","","3.4","","14.6","","0.0","","","","","","0.0","","","","22","","48",""
"-114.29","50.87","PRIDDIS OBSERVATORY","3033505","2024-03-11","2024","03","11","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
